FirstName,Phone,Notes
John,9876543210,Follow up next week
Alice,9123456789,Interested in product demo
Bob,8765432109,Requested pricing details
Eve,9234567890,Needs urgent assistance
Charlie,8987654321,Asked for case study
David,9345678901,Potential long-term client
Sophia,9456789012,Requested callback tomorrow
Michael,9567890123,Negotiating contract terms
Emma,9678901234,Referred by an existing client
Daniel,9789012345,Needs bulk order pricing
Olivia,9890123456,Requested a free trial
James,9901234567,Wants to integrate API
Liam,9012345678,Looking for partnership
Emily,9123456780,Asked about refund policy
Lucas,9234567891,Sent product documentation
Mia,9345678902,Interested in enterprise plan
Ethan,9456789013,Wants a feature comparison
Isabella,9567890124,Signed up for newsletter
Ava,9678901235,Following up after event
Noah,9789012346,Asked for case study
Harper,9890123457,Confirmed for webinar
Mason,9901234568,Requested feature demo
Ella,9012345679,Needs discount details
Benjamin,9123456781,Asked for installation guide
Charlotte,9234567892,Follow-up in two days
